ts,spot_high,spot_low,spot_close,S_t,call_high,call_low,call_close,C_mkt,best_bid_price,best_ask_price,poly_quote_ts,p_poly,poly_stale_sec,dt,tau,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,TF_t,CI_adj_lo,CI_adj_hi,s_B_proxy,s_B,s_P,f_B,f_P,se_poly_discrete,se_D_delta,D,K,r,P_poly,P_fair,market_id,market_label,binance_call_symbol
1693497600,26924.87,26218.65,26234.23,26571.760000000002,80.0,5.0,5.0,5.0,0.0,10.0,1693490400.0,0.040000000000000036,7200.0,2023-08-31 16:00:00+00:00,0.00022831050228310502,0.0018264840182648401,0.5938203068747135,0.6727447108360665,newton,2.6353695104847575e-09,1.552471744136233e-07,1.0908071928020678e-14,1.0444171545900938e-07,0.5073,-0.5073002020703927,0.5073002073411318,1.0,1.0,0.01,0.0003,0.002,0.0002886751345948129,0.00028867515348814706,0.03999999736463052,28000.0,0.045,0.040000000000000036,2.6353695104847575e-09,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693501200,26400.43,26133.94,26329.07,26267.184999999998,80.0,5.0,5.0,5.0,0.0,10.0,1693501200.0,0.020000000000000018,0.0,2023-08-31 17:00:00+00:00,0.00022831050228310502,0.0017123287671232876,0.7274586450473085,0.7920321255637354,newton,3.0045278993014463e-09,1.4337516103340176e-07,1.2895358848178839e-14,1.1355773354632805e-07,0.5073,-0.5073002195686298,0.5073002255776856,1.0,1.0,0.01,0.0003,0.002,0.0002886751345948129,0.00028867515693022875,0.019999996995472117,28000.0,0.045,0.020000000000000018,3.0045278993014463e-09,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693504800,26387.32,26189.77,26292.23,26288.545,80.0,5.0,5.0,2.5,0.0,5.0,1693501200.0,0.020000000000000018,3600.0,2023-08-31 18:00:00+00:00,0.00022831050228310502,0.0015981735159817352,0.6777705247486547,1.293650394161045,newton,3.5741674878849596e-10,2.0496827662207833e-08,7.030838941733449e-16,2.6515729184266175e-08,0.5073,-0.5073000516134124,0.5073000523282459,1.0,1.0,0.01,0.0003,0.002,0.0002886751345948129,0.0002886751358125899,0.01999999964258327,28000.0,0.045,0.020000000000000018,3.5741674878849596e-10,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693508400,26319.4,25928.0,26162.79,26123.7,70.0,5.0,5.0,2.5,0.0,5.0,1693501200.0,0.020000000000000018,7200.0,2023-08-31 19:00:00+00:00,0.00022831050228310502,0.0014840182648401827,0.7647046956834194,1.2437477250013476,newton,9.40262638571659e-10,4.5461678241925074e-08,3.197094891243838e-15,5.654285888813757e-08,0.5073,-0.5073001098837407,0.507300111764266,1.0,1.0,0.01,0.0003,0.002,0.0002886751345948129,0.0002886751401323436,0.01999999905973738,28000.0,0.045,0.020000000000000018,9.40262638571659e-10,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693512000,26194.86,25959.72,26022.61,26077.29,70.0,5.0,5.0,2.5,0.0,5.0,1693501200.0,0.020000000000000018,10800.0,2023-08-31 20:00:00+00:00,0.00022831050228310502,0.0013698630136986301,0.8139178299015518,1.3178857184084118,newton,3.5224545176968114e-09,1.4886176878712806e-07,3.8487690663327426e-14,1.9618279910157115e-07,0.5073,-0.5073003809958317,0.5073003880407407,1.0,1.0,0.01,0.0003,0.002,0.0002886751345948129,0.0002886752012574409,0.0199999964775455,28000.0,0.045,0.020000000000000018,3.5224545176968114e-09,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693382400,27499.0,27406.65,27470.98,27452.825,2000.0,290.0,1505.0,1640.0,1440.0,1840.0,1693371600.0,0.95,10800.0,2023-08-30 08:00:00+00:00,0.0018264840182648401,0.005479452054794521,0.853521397362,1.5756591130279685,newton,0.9297637043144629,-0.23810657118194772,0.1407561221171177,0.3751747887546786,0.12925121951219512,0.06516989884309773,1.794357509785828,0.24390243902439024,0.24390243902439024,0.01,0.0003,0.002,0.0002886751345948129,0.37517489981400814,0.020236295685537087,26000.0,0.045,0.95,0.9297637043144629,252015,"BTC above $26,000 at end of August",BTC-230901-26000-C
1693386000,27471.92,27310.05,27426.8,27390.985,2000.0,290.0,1440.0,1457.5,1370.0,1545.0,1693371600.0,0.95,14400.0,2023-08-30 09:00:00+00:00,0.0017123287671232876,0.005365296803652968,0.5820951639610085,2.3311788789473886,newton,0.9843372174560907,-0.14649851579855702,0.11663198010260457,0.34151424582673645,0.06733430531732418,0.24763499031836314,1.7210394445938182,0.12006861063464837,0.12006861063464837,0.01,0.0003,0.002,0.0002886751345948129,0.34151436783236205,-0.03433721745609075,26000.0,0.045,0.95,0.9843372174560907,252015,"BTC above $26,000 at end of August",BTC-230901-26000-C
1693389600,27448.86,27400.0,27435.44,27424.43,2000.0,290.0,1440.0,1472.5,1420.0,1525.0,1693371600.0,0.95,18000.0,2023-08-30 10:00:00+00:00,0.0015981735159817352,0.005251141552511416,0.5430892423722854,2.798444052604349,newton,0.9927689188486838,-0.09043436865152563,0.064047219382006,0.25307552110389103,0.042953650254668935,0.45378724723038844,1.5317505904669793,0.07130730050933787,0.07130730050933787,0.01,0.0003,0.002,0.0002886751345948129,0.2530756857450738,-0.042768918848683835,26000.0,0.045,0.95,0.9927689188486838,252015,"BTC above $26,000 at end of August",BTC-230901-26000-C
1693393200,27435.45,27331.45,27338.51,27383.45,2000.0,300.0,1440.0,1392.5,1325.0,1460.0,1693371600.0,0.95,21600.0,2023-08-30 11:00:00+00:00,0.0014840182648401827,0.005136986301369863,0.3295724356248701,12.656286641324868,newton,0.9999109204122129,-0.0011926096387619952,0.00022782912095605382,0.015094009439378718,0.05577396768402154,0.914552694227009,1.0852691465974167,0.09694793536804308,0.09694793536804308,0.01,0.0003,0.002,0.0002886751345948129,0.015096769664050226,-0.0499109204122129,26000.0,0.045,0.95,0.9999109204122129,252015,"BTC above $26,000 at end of August",BTC-230901-26000-C
1693396800,27425.0,27292.24,27353.64,27358.620000000003,2000.0,400.0,1440.0,1392.5,1335.0,1450.0,1693396800.0,0.96,0.0,2023-08-30 12:00:00+00:00,0.0013698630136986301,0.00502283105022831,0.48670233723050516,3.1877925811835905,newton,0.9975522295458875,-0.04341608890154141,0.01915497135589007,0.13840148610434092,0.04859263913824058,0.6776926776431387,1.3174117814486361,0.08258527827648116,0.08258527827648116,0.01,0.0003,0.002,0.0002886751345948129,0.13840178716051107,-0.03755222954588755,26000.0,0.045,0.96,0.9975522295458875,252015,"BTC above $26,000 at end of August",BTC-230901-26000-C
