ts,spot_close,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D
1774065600,70660.5,0.0165,0.0165,0.0165,1774065600.0,0.62,0.0,,0.35840770844092396,2026-03-21 04:00:00+00:00,0.006844626967830253,0.00593201003878622,0.3608662577554881,0.005732374194965929,iv_newton,0.6215112262200504,-0.3579361584857426,4.209981720200492e-06,0.002051823998348906,0.0002886751345948129,0.002072031624646165,-0.001511226220050399
1774069200,70715.5,0.0165,0.0165,0.0165,1774069200.0,0.64,0.0,,0.35380565278214615,2026-03-21 05:00:00+00:00,0.006730549851699749,0.005817932922655715,0.3470774604816134,0.005891243635308622,iv_newton,0.6379682825181995,-0.4123814310305924,5.9021761912508985e-06,0.002429439480878439,0.0002886751345948129,0.002446530098851071,0.0020317174818005324
1774072800,70770.5,0.0165,0.0165,0.0165,1774072800.0,0.63,0.0,,0.34937636248548154,2026-03-21 06:00:00+00:00,0.006616472735569244,0.005703855806525211,0.33220788170608,0.006084943653932524,iv_newton,0.656189365070909,-0.47563597321442996,8.376498391805054e-06,0.0028942180967931655,0.0002886751345948129,0.002908578987261372,-0.026189365070908965
1774076400,70731.5,0.0165,0.0165,0.0165,1774076400.0,0.64,0.0,,0.3454363664712159,2026-03-21 07:00:00+00:00,0.006502395619438741,0.005589778690394707,0.3490083686281173,0.006044780927968612,iv_newton,0.6425230597398034,-0.420963076672958,6.475139685424091e-06,0.0025446295772516853,0.0002886751345948129,0.0025609515846179956,-0.0025230597398033794
1774080000,70607.5,0.0165,0.0165,0.0165,1774080000.0,0.6,0.0,,0.3428070016423236,2026-03-21 08:00:00+00:00,0.006388318503308237,0.0054757015742642025,0.3926705135743809,0.0058836240043313014,iv_newton,0.6057818065651771,-0.2940685155232467,2.9935525114644644e-06,0.0017301885768506462,0.0002886751345948129,0.0017541054257933866,-0.005781806565177128
1774083600,70663.0,0.0165,0.0165,0.0165,1774083600.0,0.64,0.0,,0.3388320795664522,2026-03-21 09:00:00+00:00,0.006274241387177732,0.005361624458133698,0.3793544972288463,0.006030770834215035,iv_newton,0.6208181064871878,-0.3390210234822109,4.1802178267382725e-06,0.002044558100602248,0.0002886751345948129,0.002064836836186241,0.019181893512812187
1774087200,70615.0,0.0165,0.0165,0.0165,1774087200.0,0.62,0.0,,0.3353304944717574,2026-03-21 10:00:00+00:00,0.006160164271047228,0.005247547342003194,0.39898210935847267,0.006019640921263375,iv_newton,0.6072246642898937,-0.2926583460993227,3.103580393307411e-06,0.0017616981561287424,0.0002886751345948129,0.0017851929102034728,0.01277533571010625
1774090800,70659.0,0.0165,0.0165,0.0165,1774090800.0,0.6200000789610567,0.0,,0.33159491003717756,2026-03-21 11:00:00+00:00,0.006046087154916724,0.00513347022587269,0.389250932165343,0.006155047274788308,iv_newton,0.6190557223225108,-0.326541056420615,4.039600085966921e-06,0.0020098756394282013,0.0002886751345948129,0.0020305007804234535,0.0009443566385458624
1774094400,70728.5,0.0165,0.0165,0.0165,1774094400.0,0.65,0.0,,0.3280579791323199,2026-03-21 12:00:00+00:00,0.00593201003878622,0.005019393109742185,0.37000329993441355,0.0063672221592520105,iv_newton,0.6398170320399172,-0.39112646050224154,6.202037701943448e-06,0.0024903890663796786,0.0002886751345948129,0.00250706422639644,0.010182967960082778
1774098000,70749.0,0.0165,0.0165,0.0165,1774098000.0,0.63,0.0,,0.3245556845682283,2026-03-21 13:00:00+00:00,0.005817932922655715,0.004905315993611681,0.36704694202673177,0.006492560705615553,iv_newton,0.6461907464681365,-0.40860845757579795,7.037959141367889e-06,0.0026529152156388055,0.0002886751345948129,0.00266857498952179,-0.016190746468136452
1774101600,70640.5,0.0165,0.0165,0.0165,1774101600.0,0.6,0.0,,0.3222392631671882,2026-03-21 14:00:00+00:00,0.005703855806525211,0.004791238877481177,0.40953858790344977,0.006337388569073259,iv_newton,0.6129083200734923,-0.2974019164766402,3.5522882389905836e-06,0.00188475150589954,0.0002886751345948129,0.0019067305977310788,-0.012908320073492296
1774105200,70644.0,0.0165,0.0165,0.0165,1774105200.0,0.64,0.0,,0.31896748452161217,2026-03-21 15:00:00+00:00,0.005589778690394707,0.0046771617613506735,0.41343516381361467,0.006419474152281826,iv_newton,0.613538173068242,-0.2959588693732235,3.6096211958415357e-06,0.0018999003120799616,0.0002886751345948129,0.0019217061505794452,0.026461826931758026
1774108800,70309.0,0.0165,0.0165,0.0165,1774108800.0,0.57,0.0,,0.3228837046314396,2026-03-21 16:00:00+00:00,0.0054757015742642025,0.004563084645220169,0.5237409878799105,0.006190138664180722,iv_newton,0.5399446314512412,-0.10560983432518413,4.273753584069169e-07,0.0006537395187740427,0.0002886751345948129,0.0007146388540656395,0.030055368548758787
1774112400,70315.0,0.0165,0.0165,0.0165,1774112400.0,0.5522388627756951,0.0,,0.31971354363663645,2026-03-21 17:00:00+00:00,0.005361624458133698,0.004449007529089665,0.5287586821493945,0.006271455961457506,iv_newton,0.5408241955673737,-0.10621385968355855,4.4370991729478405e-07,0.0006661155435018643,0.0002886751345948129,0.0007259774449858049,0.011414667208321405
1774116000,70402.0,0.0165,0.0165,0.0165,1774116000.0,0.5900000000000001,0.0,,0.31686034321268663,2026-03-21 18:00:00+00:00,0.005247547342003194,0.004334930412959161,0.5094248731493275,0.00640026505693723,iv_newton,0.5567723821718724,-0.1395134797785061,7.973119296728153e-07,0.0008929232495980913,0.0002886751345948129,0.0009384270152793709,0.033227617828127665
1774119600,70390.5,0.0165,0.0165,0.0165,1774119600.0,0.5800000000000001,0.0,,0.3139133270938894,2026-03-21 19:00:00+00:00,0.00513347022587269,0.004220853296828656,0.5199631052556197,0.006478625761076468,iv_newton,0.5543169653910031,-0.13234324246421061,7.351387725226249e-07,0.0008574023399330241,0.0002886751345948129,0.0009046944820523436,0.025683034608997013
1774123200,70460.5,0.0165,0.0165,0.0165,1774123200.0,0.5900000000000001,0.0,,0.3111182000448927,2026-03-21 20:00:00+00:00,0.005019393109742185,0.004106776180698152,0.5048164980004262,0.006618732140021014,iv_newton,0.5680620872909933,-0.1615700666602685,1.1435928184985345e-06,0.0010693889930696568,0.0002886751345948129,0.0011076669859808352,0.0219379127090068
1774126800,70359.0,0.0165,0.0165,0.0165,1774123200.0,0.5900000000000001,3600.0,,0.3090530335594148,2026-03-21 21:00:00+00:00,0.004905315993611681,0.003992699064567648,0.5448482926484256,0.006641887835931826,iv_newton,0.5479374289116624,-0.11548980442119403,5.883968868082361e-07,0.0007670703271592743,0.0002886751345948129,0.0008195914958938809,0.042062571088337664
1774130400,70284.0,0.0165,0.0165,0.0165,1774130400.0,0.5700000000000001,0.0,,0.3067338757277876,2026-03-21 22:00:00+00:00,0.004791238877481177,0.0038786219484371436,0.5765584796382968,0.006702340182484502,iv_newton,0.5345104986297662,-0.08739627012072315,3.431142305348118e-07,0.0005857595330293924,0.0002886751345948129,0.0006530295275622268,0.03548950137023388
1774134000,68902.0,0.0165,0.0165,0.0165,1774134000.0,0.29,0.0,,0.3918802478206423,2026-03-21 23:00:00+00:00,0.0046771617613506735,0.0037645448323066393,0.9546189824068122,0.006934127361839258,iv_newton,0.39288810227154075,0.08307448948851281,3.318325548192497e-07,0.0005760490906331245,0.0002886751345948129,0.0006443336776489206,-0.10288810227154077
1774137600,68945.0,0.0055,0.0055,0.0045,1774137600.0,0.3300000804000708,0.0,,0.3885857018841409,2026-03-22 00:00:00+00:00,0.004563084645220169,0.003650467716176135,0.474392783094162,0.023621851810943298,iv_newton,0.3143028854222772,0.33770697487179563,6.363674277551995e-05,0.007977264115943508,0.0002886751345948129,0.007982485584631724,0.015697194977793594
