ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1771880400,64550.0,64752.5,64434.5,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,14400.0,,0.7423052313410906,2026-02-23 21:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.2470099404574935,0.0027515322431630627,iv_bisect,0.008108215404671552,0.023394485212289835,4.143584491788102e-09,6.437068037381695e-05,0.0002886751345948129,0.0002957649705849586,-0.007108215404671551,0.0078,0.00018204887113887,0.016034381938204233,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771884000,64687.5,64985.5,64542.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,18000.0,,0.732572000276034,2026-02-23 22:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.195456794204862,0.0027018347124441117,iv_bisect,0.008298274155495876,0.024356771556355884,4.33068903055767e-09,6.580797087403372e-05,0.0002886751345948129,0.00029608110774564966,-0.007298274155495875,0.0078,0.00036929053258277084,0.01622725777840898,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771887600,64610.5,64867.5,64500.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,21600.0,,0.7210366945537767,2026-02-23 23:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.224330865513533,0.0027296950183405932,iv_bisect,0.008190804646189622,0.023810554036792622,4.224421615757033e-09,6.499555073816232e-05,0.0002886751345948129,0.0002959015967329179,-0.007190804646189621,0.0078,0.00026341336674282415,0.01611819592563642,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771891200,64903.5,64975.0,64610.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,25200.0,,0.7161434344975162,2026-02-24 00:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.114394192401021,0.00262326750063708,iv_bisect,0.00861469305817936,0.025996438474906992,4.650641521087092e-09,6.819561218353488e-05,0.0002886751345948129,0.00029662092787667636,-0.007614693058179359,0.0078,0.0006810296582996315,0.01654835645805909,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771894800,64110.0,64903.5,63379.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,28800.0,,0.7273829613314996,2026-02-24 01:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.4117738364119825,0.0029090418810854414,iv_bisect,0.0075521362133608595,0.02067749037163705,3.618225266906894e-09,6.015168548683315e-05,0.0002886751345948129,0.0002948754967782848,-0.0065521362133608586,0.0078,-0.0003657610901933329,0.015470033516915052,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771898400,64071.0,64468.5,63963.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,32400.0,,0.7170338808964358,2026-02-24 02:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.4263656203158197,0.0029228966939674433,iv_bisect,0.007506319117045913,0.020460220715261462,3.576412143464587e-09,5.980311148648193e-05,0.0002886751345948129,0.00029480458862914246,-0.006506319117045912,0.0078,-0.0004108949814675914,0.015423533215559417,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771902000,63530.0,64063.0,63317.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,36000.0,,0.7153138235286066,2026-02-24 03:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.6286386442090564,0.0031134906346397713,iv_bisect,0.00692061326798558,0.017772486456856827,3.061903585418453e-09,5.5334470137685905e-05,0.0002886751345948129,0.00029393066685657655,-0.005920613267985579,0.0078,-0.0009878422934842838,0.014829068829455443,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771905600,63329.5,63582.5,62827.5,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,39600.0,,0.7059754485740269,2026-02-24 04:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.7035592976759375,0.003183417939575421,iv_bisect,0.006724661455943801,0.01691075390746534,2.8980992718394247e-09,5.383399736077031e-05,0.0002886751345948129,0.0002936518901781032,-0.0057246614559438,0.0078,-0.0011808531788833083,0.01463017609077091,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771909200,63068.5,63500.5,62656.5,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,43200.0,,0.6976168008544064,2026-02-24 05:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.801073046558648,0.003273921413026707,iv_bisect,0.006484434030135561,0.01588023810474426,2.7030278512018765e-09,5.1990651575084884e-05,0.0002886751345948129,0.0002933195547257891,-0.00548443403013556,0.0078,-0.0014174676469516055,0.014386335707222727,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771912800,63038.0,63280.5,62856.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,46800.0,,0.6888550572844581,2026-02-24 06:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.8124679417337477,0.0032844610811766676,iv_bisect,0.006457385895920202,0.01576601042451648,2.6814633101993923e-09,5.178284764475002e-05,0.0002886751345948129,0.0002932827929550807,-0.005457385895920201,0.0078,-0.0014441084854635074,0.014358880277303912,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
